klasa,przedmiot,czas_nauki,forma_nauki,coursebook1,notebook2,notebooks3,apps4,websites5,flashards6,books7,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,zleSam1,napietyPlan2,niechec3,rozrywka4,zycieTow5,podejscie1,determinacja2,podzialCzasu3,rozkladNauki4,rezRozrywka5,nauczyciel,pytania,ocena,prognozaOceny,motywacjaPo,aktualnaMotywacja,plec
pierwszej,zawodowy,doGodziny,skrupulatnie,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,prawidlowyPrzebieg,nieNie,bdb,dokladnie,bezZmian,5,M
pierwszej,maturalny,brak,intensywnie,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,prawidlowyPrzebieg,nieTak,dst,nizsza,mocnoRosnie,4,M
pierwszej,maturalny,brak,skrupulatnie,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,prawidlowyPrzebieg,takTak,dop,nizsza,lekkoMaleje,1,BO
pierwszej,inny,minuty,pobieznie,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieTak,ndst,nizsza,chcePracowac,1,M
pierwszej,inny,minuty,pobieznie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,prawidlowyPrzebieg,takNie,ndst,nizsza,mocnoRosnie,3,M
pierwszej,maturalny,minuty,pobieznie,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,brakUwagi,takTak,dst,nizsza,mocnoMaleje,2,M
pierwszej,zawodowy,doGodziny,pobieznie,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,ndst,nizsza,lekkoMaleje,4,M
pierwszej,inny,minuty,pobieznie,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,dst,wyzsza,bezZmian,1,M
pierwszej,zawodowy,brak,brak,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,pilnowal,nieTak,dop,nizsza,chcePracowac,4,M
pierwszej,zawodowy,doGodziny,kompleksowo,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,pilnowal,takTak,db,dokladnie,bezZmian,5,M
pierwszej,maturalny,minuty,brak,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieNie,db,wyzsza,bezZmian,1,M
pierwszej,maturalny,minuty,pobieznie,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,takTak,dst,nizsza,bezZmian,2,M
pierwszej,maturalny,minuty,intensywnie,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pilnowal,takTak,dst,nizsza,lekkoMaleje,3,M
pierwszej,maturalny,brak,brak,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,db,dokladnie,bezZmian,3,M
trzeciej,zawodowy,do5Godzin,skrupulatnie,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,pilnowal,nieTak,dop,wyzsza,lekkoMaleje,1,M
trzeciej,zawodowy,brak,brak,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,dst,dokladnie,bezZmian,2,BO
trzeciej,maturalny,brak,brak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,bdb,dokladnie,bezZmian,1,M
trzeciej,zawodowy,brak,brak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,nieNie,db,dokladnie,bezZmian,2,M
trzeciej,zawodowy,do5Godzin,pobieznie,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,pilnowal,takNie,dst,wyzsza,lekkoMaleje,1,M
trzeciej,maturalny,minuty,pobieznie,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,prawidlowyPrzebieg,nieTak,dop,nizsza,bezZmian,2,K
trzeciej,inny,minuty,intensywnie,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,nieTak,dst,dokladnie,bezZmian,2,M
trzeciej,zawodowy,brak,pobieznie,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,pilnowal,takNie,dop,nizsza,mocnoMaleje,3,M
trzeciej,zawodowy,minuty,pobieznie,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,pilnowal,takNie,dst,nizsza,lekkoMaleje,3,M
trzeciej,maturalny,do5Godzin,pobieznie,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,pilnowal,takNie,ndst,nizsza,mocnoMaleje,2,M
trzeciej,maturalny,brak,brak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,dst,nizsza,bezZmian,1,M
pierwszej,maturalny,powyzej5Godzin,skrupulatnie,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,prawidlowyPrzebieg,nieNie,db,dokladnie,chcePracowac,4,M
pierwszej,maturalny,brak,brak,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,brakUwagi,nieNie,bdb,wyzsza,bezZmian,2,M
pierwszej,maturalny,powyzej5Godzin,kompleksowo,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,pilnowal,nieNie,dst,nizsza,lekkoMaleje,2,M
pierwszej,maturalny,doGodziny,pobieznie,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,brakUwagi,takTak,celującą,dokladnie,chcePracowac,2,K
pierwszej,maturalny,powyzej5Godzin,kompleksowo,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,prawidlowyPrzebieg,nieNie,bdb,dokladnie,mocnoRosnie,2,M
pierwszej,maturalny,do5Godzin,skrupulatnie,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,prawidlowyPrzebieg,takTak,ndst,nizsza,chcePracowac,4,M
pierwszej,maturalny,do5Godzin,skrupulatnie,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,prawidlowyPrzebieg,nieTak,dst,nizsza,mocnoMaleje,2,K
pierwszej,inny,powyzej5Godzin,pobieznie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pilnowal,nieTak,ndst,dokladnie,mocnoRosnie,3,K
pierwszej,maturalny,do5Godzin,intensywnie,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,prawidlowyPrzebieg,takTak,db,nizsza,chcePracowac,3,K
pierwszej,maturalny,do5Godzin,skrupulatnie,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,pilnowal,nieTak,db,nizsza,chcePracowac,3,K
pierwszej,maturalny,doGodziny,intensywnie,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,prawidlowyPrzebieg,nieNie,celującą,wyzsza,chcePracowac,3,M
pierwszej,maturalny,minuty,skrupulatnie,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,prawidlowyPrzebieg,nieNie,bdb,wyzsza,chcePracowac,3,M
pierwszej,maturalny,do5Godzin,skrupulatnie,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,pilnowal,nieNie,bdb,wyzsza,bezZmian,4,M
pierwszej,maturalny,doGodziny,intensywnie,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,dop,nizsza,mocnoRosnie,3,K
pierwszej,maturalny,doGodziny,skrupulatnie,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,dst,nizsza,mocnoMaleje,1,K
