class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,zawodowy,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,prawidlowyPrzebieg,nieNie,bdb,dokladnie,bezZmian,5,M
pierwszej,maturalny,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,prawidlowyPrzebieg,nieTak,dst,nizsza,mocnoRosnie,4,M
pierwszej,maturalny,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,prawidlowyPrzebieg,takTak,dop,nizsza,lekkoMaleje,1,BO
pierwszej,inny,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieTak,ndst,nizsza,chcePracowac,1,M
pierwszej,inny,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,prawidlowyPrzebieg,takNie,ndst,nizsza,mocnoRosnie,3,M
pierwszej,maturalny,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,brakUwagi,takTak,dst,nizsza,mocnoMaleje,2,M
pierwszej,zawodowy,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,ndst,nizsza,lekkoMaleje,4,M
pierwszej,inny,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,dst,wyzsza,bezZmian,1,M
pierwszej,zawodowy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,pilnowal,nieTak,dop,nizsza,chcePracowac,4,M
pierwszej,zawodowy,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,pilnowal,takTak,db,dokladnie,bezZmian,5,M
pierwszej,maturalny,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieNie,db,wyzsza,bezZmian,1,M
pierwszej,maturalny,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,takTak,dst,nizsza,bezZmian,2,M
pierwszej,maturalny,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pilnowal,takTak,dst,nizsza,lekkoMaleje,3,M
pierwszej,maturalny,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,db,dokladnie,bezZmian,3,M
trzeciej,zawodowy,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,pilnowal,nieTak,dop,wyzsza,lekkoMaleje,1,M
trzeciej,zawodowy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,dst,dokladnie,bezZmian,2,BO
trzeciej,maturalny,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,bdb,dokladnie,bezZmian,1,M
trzeciej,zawodowy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,nieNie,db,dokladnie,bezZmian,2,M
trzeciej,zawodowy,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,pilnowal,takNie,dst,wyzsza,lekkoMaleje,1,M
trzeciej,maturalny,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,prawidlowyPrzebieg,nieTak,dop,nizsza,bezZmian,2,K
trzeciej,inny,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,nieTak,dst,dokladnie,bezZmian,2,M
trzeciej,zawodowy,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,pilnowal,takNie,dop,nizsza,mocnoMaleje,3,M
trzeciej,zawodowy,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,pilnowal,takNie,dst,nizsza,lekkoMaleje,3,M
trzeciej,maturalny,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,pilnowal,takNie,ndst,nizsza,mocnoMaleje,2,M
