class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,zawodowy,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,prawidlowyPrzebieg,nieNie,5,dokladnie,bezZmian,5,M
pierwszej,maturalny,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,prawidlowyPrzebieg,nieTak,3,nizsza,mocnoRosnie,4,M
pierwszej,maturalny,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,prawidlowyPrzebieg,takTak,2,nizsza,lekkoMaleje,1,BO
pierwszej,inny,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieTak,1,nizsza,chcePracowac,1,M
pierwszej,inny,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,prawidlowyPrzebieg,takNie,1,nizsza,mocnoRosnie,3,M
pierwszej,maturalny,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,brakUwagi,takTak,3,nizsza,mocnoMaleje,2,M
pierwszej,zawodowy,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,1,nizsza,lekkoMaleje,4,M
pierwszej,inny,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,3,wyzsza,bezZmian,1,M
pierwszej,zawodowy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,pilnowal,nieTak,2,nizsza,chcePracowac,4,M
pierwszej,zawodowy,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,pilnowal,takTak,4,dokladnie,bezZmian,5,M
pierwszej,maturalny,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieNie,4,wyzsza,bezZmian,1,M
pierwszej,maturalny,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,takTak,3,nizsza,bezZmian,2,M
